bird,song
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm A side_A 05-04-06_000700.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm A2 side_A 05-04-06_000804.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm A3 side_A 05-04-06_000907.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm A4 side_B 05-04-06_000845.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm A5 side_B 05-04-06_000902.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm A6side_B 05-04-06_000912.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm B side_B 05-04-06_000232.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm B2 side_B 05-04-06_000255.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm B3 side_B 05-04-06_004558.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm C side_B 05-04-06_000513.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm C side_B 05-04-06_000647.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm D side_B 05-04-06_001420.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm D2 side_B 05-04-06_001426.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm D3 side_B 05-04-06_001448.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm D4 side_B 05-04-06_001554.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm D5 side_B 05-04-06_003019.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm D6 side_B 05-04-06_003200.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm E side_B 05-04-06_001713.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm E2 side_B 05-04-06_001726.wav
